Proteome Id	Organism	Organism Id	Protein count
UP000001782	Lactococcus phage bIL311	151534	21
UP000001783	Chlamydia phage phiCPAR39	2932877	6
UP000001785	Vibrio phage KVP40 (isolate Vibrio parahaemolyticus/Japan/Matsuzaki/1991) (KVP40) (Bacteriophage KVP40)	75320	381
UP000001786	Ralstonia phage RSM1	384359	15
UP000001787	Ralstonia phage RSS1	384360	12
UP000001789	Enterobacteria phage N4 (Bacteriophage N4)	2886925	72
UP000001791	Streptococcus phage SMP	413066	47
UP000001797	Lactobacillus phage phiAT3	279281	55
UP000001804	Escherichia phage SSL-2009a	2681619	67
UP000001835	Lactococcus phage c2	2681624	39
UP000001838	Mycoplasma phage phiMFV1	280702	17
UP000001840	Vibrio phage VP585	631719	58
UP000001849	Mycobacterium phage Myrna	546805	229
UP000001852	Mycobacterium phage Solon	555603	86
UP000001854	Ralstonia phage RSB1	551790	47
UP000001855	Sulfolobus spindle-shaped virus 5	459291	34
UP000001858	Burkholderia phage KS10	557289	49
UP000001859	Lactococcus phage P335	354260	50
UP000001862	Iodobacter phage PhiPLPE	551895	84
UP000001874	Human herpesvirus 2 (strain HG52) (HHV-2) (Human herpes simplex virus 2)	10315	74
UP000001891	Escherichia phage K1G	698486	52
UP000001893	Escherichia phage K1ind1	698488	51
UP000001896	Mycobacterium phage SkiPole	701456	102
UP000001899	Lactobacillus phage phiPYB5	438780	46
UP000001905	Enterococcus phage phiFL2A	673835	63
UP000001906	Pseudomonas phage phi-2	693582	43
UP000001922	Lactococcus phage LL-H (Lactococcus delbrueckii bacteriophage LL-H)	12348	51
UP000001949	Theileria parva (East coast fever infection agent)	5875	2787
UP000001995	Mycobacterium phage Tweety	439809	109
UP000001998	Burkholderia phage BcepNY3	2881397	70
UP000001999	Microbacterium phage Min1	446529	77
UP000002006	Escherichia phage Phieco32 (Escherichia coli phage phi32)	2679905	128
UP000002017	Bacteroides phage B40-8	99179	46
UP000002059	Paracoccidioides lutzii (strain ATCC MYA-826 / Pb01) (Paracoccidioides brasiliensis)	502779	8811
UP000002060	Variola virus (isolate Human/India/Ind3/1967) (VARV) (Smallpox virus)	587200	158
UP000002080	Escherichia phage phiEcoM-GJ1	451705	75
UP000002082	Pseudomonas phage LUZ24	484895	68
UP000002083	Pseudomonas phage YuA	462590	77
UP000002089	Pseudomonas phage LKA1	386793	57
UP000002091	Listeria phage PSA	171618	59
UP000002093	Myxococcus phage Mx8	49964	86
UP000002094	Vibrio phage VSKK	180503	6
UP000002095	Clostridium phage phi3626	190478	50
UP000002096	Haemophilus phage HP2	2932882	36
UP000002097	Staphylococcus phage phi 11	2681609	53
UP000002098	Pseudomonas phage phiKZ	2905945	369
UP000002099	Staphylococcus phage phi13 (Bacteriophage phi-13)	2992645	49
UP000002100	Bacillus phage WBeta	2885908	53
UP000002102	Enterobacteria phage BP-4795	196242	85
UP000002103	Biseptimavirus bv77	259901	69
UP000002105	Escherichia phage K1-5	2681604	52
UP000002106	Enterobacteria phage ST104	221029	63
UP000002110	Burkholderia phage BcepB1A	279530	73
UP000002111	Enterobacteria phage M13 (Bacteriophage M13)	1977402	9
UP000002112	Thermus virus IN93	1714273	39
UP000002113	Villovirus Vf33	127509	7
UP000002114	Lactobacillus phage Lc-Nu	146269	51
UP000002115	Vibrio phage KSF1	292443	12
UP000002116	Pseudomonas phage B3	151599	59
UP000002118	Pseudomonas phage F116	2679904	70
UP000002119	Salmonella phage SS3e	293644	58
UP000002121	Pseudomonas phage Pf1 (Bacteriophage Pf1)	2011081	14
UP000002123	Mycobacterium phage L5 (Mycobacteriophage L5)	31757	90
UP000002124	Streptomyces phage phiC31 (Bacteriophage phi-C31)	10719	53
UP000002133	Mycobacterium phage TM4 (Mycobacteriophage TM4)	88870	92
UP000002142	Spiroplasma phage SVGII3	745349	11
UP000002144	Citexvirus phiCTX	35343	2
UP000002147	Salmonella phage SETP3	424944	63
UP000002158	Lactococcus phage asccphi28	503388	28
UP000002174	Lactobacillus prophage Lj771	139871	56
UP000002175	Azospirillum phage Cd	467481	95
UP000002179	Mycobacterium phage Troll4	561999	88
UP000002183	Mycobacterium phage Konstantine	563121	95
UP000002234	Lactococcus phage 949	881953	154
UP000002236	Aeromonas phage phiAS5	879630	343
UP000002237	Pseudoalteromonas phage H105/1	877240	52
UP000002238	Avian leukosis virus subgroup A (isolate RSA) (ALV-A RSA)	363745	4
UP000002239	Rice dwarf virus (isolate Fujian) (RDV)	142804	13
UP000002242	Human immunodeficiency virus type 2 subtype A (isolate BEN) (HIV-2)	11714	9
UP000002243	Commelina yellow mottle virus (CoYMV)	10653	3
UP000002244	Cassava vein mosaic virus (CsVMV)	38062	5
UP000002245	Petunia vein clearing virus (isolate Shepherd) (PVCV)	492094	1
UP000002246	Rice tungro bacilliform virus (isolate Philippines) (RTBV)	10655	4
UP000002251	Clostridium phage phiCTP1	871584	86
UP000002259	His 2 virus (His2V) (Haloarcula hispanica virus 2)	128710	35
UP000002272	Archaeal BJ1 virus	416419	70
UP000002299	Bacillus phage 1	2785079	54
UP000002317	Bovine viral diarrhea virus (isolate NADL) (BVDV) (Mucosal disease virus)	11100	1
UP000002319	Encephalomyocarditis virus (strain Rueckert) (EMCV)	2870365	2
UP000002323	Tomato yellow leaf curl Sardinia virus (TYLCSV)	123735	6
UP000002326	Sonchus yellow net virus (SYNV)	11307	6
UP000002332	Pseudomonas fluorescens (strain SBW25)	216595	884
UP000002336	Lactococcus phage P087	641487	88
UP000002337	Vibrio phage VP93	641832	44
UP000002338	Vibrio phage VEJ	642111	11
UP000002339	Banana bunchy top virus (isolate Autralia) (BBTV)	645099	7
UP000002340	Bacillus phage IEBH	2884422	86
UP000002341	Silicibacter phage DSS3phi2	490912	81
UP000002342	Sulfitobacter phage EE36phi1	490913	79
UP000002346	Rhodococcus phage ReqiDocB7	691966	105
UP000002347	Rhodococcus phage ReqiPepy6	691965	107
UP000002374	Escherichia phage vB_EcoM_ECO1230-10	669875	56
UP000002375	Lactobacillus phage LBR48	755164	86
UP000002404	Streptococcus phage MM1 1998	341698	53
UP000002406	Mycobacterium phage Qyrzula	373414	81
UP000002413	Bacillus phage 0305phi8-36	458639	239
UP000002414	Corynebacterium phage P1201	384848	95
UP000002416	Streptococcus phage P9	403905	53
UP000002421	Pseudomonas phage 201phi2-1 (Pseudomonas chlororaphis phage 201phi2-1)	198110	461
UP000002447	Pseudomonas phage MP29	2914008	51
UP000002451	Staphylococcus phage vB_SauS-phiIPLA88	2681608	60
UP000002452	Stenotrophomonas phage S1	573591	48
UP000002477	Rift valley fever virus (strain ZH-548 M12) (RVFV)	11589	4
UP000002492	Mycobacterium phage Wile	1056833	85
UP000002497	Coccidioides posadasii (strain RMSCC 757 / Silveira) (Valley fever fungus)	443226	10212
UP000002499	Metarhizium acridum (strain CQMa 102)	655827	9830
UP000002500	Dengue virus type 1 (strain Nauru/West Pac/1974) (DENV-1)	11059	1
UP000002501	Cauliflower mosaic virus (strain Strasbourg) (CaMV)	10648	6
UP000002536	Streptococcus phage phiNIH1.1	173707	55
UP000002538	Sinorhizobium phage PBC5	179237	83
UP000002539	Mycobacterium phage PBI1	373410	81
UP000002544	Mannheimia phage phiMhaA1-BAA410	376821	51
UP000002545	Ralstonia phage p12J	247080	9
UP000002546	Lactobacillus phage KC5a	363555	61
UP000002547	Sodalis phage phiSG1	373126	47
UP000002548	Spiroplasma phage SVTS2	93224	13
UP000002549	Burkholderia phage BcepNazgul	242861	73
UP000002550	Bacillus phage Bam35c (Bacillus thuringiensis bacteriophage Bam35c)	236750	32
UP000002553	Mycoplasma phage MAV1	75590	15
UP000002554	Haemophilus phage Aaphi23	230158	65
UP000002563	Staphylococcus phage phiSLT	2952367	60
UP000002577	Vibrio phage VfO4K68	127508	8
UP000002578	Chlamydia phage 2	105154	8
UP000002579	Methanothermobacter phage psiM100	173824	36
UP000002580	Bacillus phage GA-1 (Bacteriophage GA-1)	2679898	35
UP000002581	Streptococcus phage Sfi11	2681625	51
UP000002583	Lactococcus phage bIL285	151535	62
UP000002584	Lactococcus phage bIL286	151536	61
UP000002585	Lactococcus phage bIL310	151538	28
UP000002599	Erwinia phage phiEa21-4	557393	118
UP000002602	Varicella-zoster virus (strain Dumas) (HHV-3) (Human herpesvirus 3)	10338	69
UP000002604	Salmonella phage epsilon34	348058	73
UP000002609	Sulfolobus turreted icosahedral virus 1	269145	36
UP000002614	Shigella phage Ag3	637730	216
UP000002628	Clavibacter phage CMP1	686439	74
UP000002633	Klebsiella phage KP34 (Bacteriophage KP34)	674081	57
UP000002653	Tetrasphaera phage TJE1	981335	66
UP000002662	Staphylococcus phage phi5967PVL	874267	42
UP000002665	Enterobacteria phage VT2-Sa (Bacteriophage VT2-Sa)	97081	80
UP000002666	Listeria phage A118 (Bacteriophage A118)	40521	72
UP000002720	Mycobacterium phage Boomer	2902893	105
UP000002726	Bacteriophage APSE-2	340054	41
UP000002762	Beauveria bassiana (strain ARSEF 2860) (White muscardine disease fungus) (Tritirachium shiotae)	655819	10363
UP000002770	Legionella drancourtii LLAP12	658187	3959
UP000002772	Hallella multisaccharivorax DSM 17128	688246	2694
UP000002786	Prevotella bivia DSM 20514	868129	2064
UP000002819	Nonlabens phage P12024L	1168479	58
UP000002820	Nonlabens phage P12024S	1168478	59
UP000002823	Salmonella phage vB_SosS_Oslo	1168549	79
UP000002824	Salmonella phage vB_SemP_Emek	1168548	70
UP000002825	Celeribacter phage P12053L	1197951	56
UP000002827	Marinomonas phage P12026	1176423	54
UP000002828	Croceibacter phage P2559S	1176422	68
UP000002864	Salmonella phage vB_SenS-Ent1	1163482	58
UP000002867	Pseudomonas phage tf	1114179	72
UP000002872	Nematocida parisii (strain ERTm3) (Nematode killer fungus)	935791	2724
UP000002873	Bacillus phage PBC1	1161901	50
UP000002874	Cronobacter phage CR3	1162295	265
UP000002876	Mycobacterium phage SWU1	1175504	94
UP000002880	Acinetobacter phage AP22	1187128	89
UP000002883	Saccharomonospora phage PIS 136	182851	132
UP000002884	Pseudomonas phage Lu11	1161927	391
UP000002886	Escherichia phage vB_EcoS_AKFV33	2681605	160
UP000002887	Salisaeta icosahedral phage 1	1183239	57
UP000002893	Weissella phage phiYS61	1161906	48
UP000002900	Helicobacter pylori bacteriophage KHP30	1208236	30
UP000002902	Escherichia phage ECML-117	1204521	94
UP000002905	Yersinia phage phi80-18	1206559	57
UP000002907	Yersinia phage phiR8-01	1206556	50
UP000002908	Yersinia phage phiR2-01	1206557	154
UP000002910	Helicobacter phage KHP40	1204178	32
UP000002922	Leuconostoc phage Lmd1	1161930	40
UP000002924	Helicobacter phage 1961P	1154995	33
UP000002964	Thiorhodovibrio frisius	631362	4691
UP000003163	Edhazardia aedis (strain USNM 41457) (Microsporidian parasite)	1003232	4189
UP000003484	Haloredivivus sp. (strain G17)	1072681	2152
UP000003533	Beggiatoa sp. SS	422288	1437
UP000003645	Limosilactobacillus mucosae LM1	1130798	1970
UP000003749	Streptococcus phage JX01	1225806	70
UP000003753	Streptococcus phage LYGO9	1225805	66
UP000003754	Agrobacterium phage 7-7-1	1161931	127
UP000003794	Mycobacterium phage Dorothy	2927992	104
UP000003802	Erwinia phage phiEaH2	1029988	262
UP000003805	Segatella oris C735	563008	2641
UP000003829	Prevotella sp. oral taxon 317 str. F0108	575615	2926
UP000003834	delta proteobacterium NaphS2	88274	6687
UP000003835	Coleofasciculus chthonoplastes PCC 7420	118168	8193
UP000003844	Gillisia limnaea (strain DSM 15749 / LMG 21470 / R-8282)	865937	3411
UP000003929	Aeropyrum coil-shaped virus	1157339	57
UP000003978	Clostridium sp. D5	556261	4496
UP000003980	Metallosphaera yellowstonensis MK1	671065	3340
UP000004058	Campylobacter phage CP30A	1229752	162
UP000004095	Microscilla marina ATCC 23134	313606	8248
UP000004508	Ktedonobacter racemifer DSM 44963	485913	11211
UP000004664	Methylobacter tundripaludum (strain ATCC BAA-1195 / DSM 17260 / SV96)	697282	4194
UP000004685	Bacteroidetes oral taxon 274 str. F0058	575590	1854
UP000004690	Galbibacter orientalis DSM 19592	926559	3783
UP000004704	Streptomyces sp. e14	645465	6181
UP000004712	Peptoniphilus sp. oral taxon 386 str. F0131	575609	1404
UP000004783	Lactococcus phage ASCC284	1165137	57
UP000004785	Lactococcus phage ASCC310	1165139	55
UP000004789	Mycobacterium phage Twister	1161933	87
UP000004791	Salinivibrio phage CW02	1161935	70
UP000004793	Caldisericum exile (strain DSM 21853 / NBRC 104410 / AZM16c01)	511051	1566
UP000004806	Lactococcus phage ASCC406	1165148	59
UP000005214	Clostridium phage phi8074-B1	1147137	82
UP000005227	Vibrio phage CP-T1 (Bacteriophage CP-T1)	10689	70
UP000005229	Bdellovibrio phage phi1422	1127515	76
UP000005230	Pectobacterium phage ZF40	1127516	68
UP000005231	Vibrio phage vB_VchM-138	1127518	67
UP000005237	Caenorhabditis japonica	281687	35024
UP000005242	Wallemia mellicola (strain ATCC MYA-4683 / CBS 633.66) (Wallemia sebi (CBS 633.66))	671144	5262
UP000005249	Xanthomonas phage vB_XveM_DIBBI	1129194	81
UP000005256	Vibrio phage VvAW1	1168281	40
UP000005261	Stenotrophomonas phage IME13	1211280	178
UP000005266	Colwellia phage 9A	765765	149
UP000005317	Thiothrix nivea (strain ATCC 35100 / DSM 5205 / JP2)	870187	4218
UP000005361	Pelosinus fermentans JBW45	1192197	4722
UP000005408	Crassostrea gigas (Pacific oyster) (Crassostrea angulata)	29159	57875
UP000005427	Rhodococcus phage REQ2	1109713	82
UP000005428	Rhodococcus phage RRH1	1109717	20
UP000005430	Rhodococcus phage REQ1	1109712	85
UP000005431	Rhodococcus phage REQ3	1109714	60
UP000005445	Bacillus phage W.Ph.	764595	274
UP000005623	Simian immunodeficiency virus (SIV)	11723	2
UP000005665	Mycobacterium phage Saintus	2923007	95
UP000005675	Clostridium phage phiZP2	1162306	27
UP000005735	Roseibium sp. TrichSKD4	744980	5884
UP000005737	Leptonema illini DSM 21528	929563	4129
UP000005744	Beggiatoa alba B18LD	395493	3440
UP000005857	Mycobacterium phage DS6A	45764	97
UP000005860	Mycobacterium phage Courthouse	2923000	241
UP000005862	Mycobacterium phage Dori	1089121	94
UP000005879	Pediococcus phage cIP1	2681621	57
UP000005880	Campylobacter phage CPX	2885911	149
UP000005882	Synechococcus phage S-CBS1	909297	43
UP000005883	Vibrio phage VCY-phi	1105327	11
UP000005888	Rhodobacter phage RcapMu	1105286	58
UP000006047	Bacillus phage BtCS33	1194641	57
UP000006091	Clostridium phage phiMMP04	1204535	51
UP000006092	Clostridium phage phiMMP02	1204534	76
UP000006099	Bacillus phage B4	1141133	277
UP000006105	Pectobacterium phage PP1	1217810	48
UP000006144	Vibrio phage SIO-2	700512	114
UP000006172	Enterococcus phage BC611	1173135	87
UP000006179	Thermoanaerobacterium phage THSA-485A	1126885	57
UP000006182	Pseudomonas phage PaMx25	1175654	74
UP000006280	Pectobacterium phage My1	1204539	149
UP000006285	Bacillus phage Bastille	57477	273
UP000006287	Bacillus phage BPS13	1136731	268
UP000006290	Dragonfly-associated microphage 1	1234888	5
UP000006294	Amphibacillus xylanus (strain ATCC 51415 / DSM 6626 / JCM 7361 / LMG 17667 / NBRC 15112 / Ep01)	698758	2384
UP000006298	Bacillus phage BCD7	1136534	140
UP000006352	Fibroporia radiculosa	599839	9251
UP000006364	Acidianus filamentous virus 2 (isolate Italy/Pozzuoli) (AFV-2)	654910	52
UP000006367	Human papillomavirus type 41	10589	11
UP000006372	Human papillomavirus type 1 (Human papillomavirus type 1a)	10583	7
UP000006460	Clostridium phage PhiS63	1187894	43
UP000006508	Staphylococcus phage Ipla5	2922988	66
UP000006509	Staphylococcus phage Ipla7	2922989	59
UP000006510	Bacillus phage BceA1	1118064	63
UP000006511	Staphylococcus phage SpaA1	1118063	63
UP000006514	Auricularia subglabra (strain TFB-10046 / SS5) (White-rot fungus) (Auricularia delicata (strain TFB10046))	717982	5290
UP000006518	Campoletis sonorensis ichnovirus (strain Texas A&M) (CsIV)	654920	4
UP000006523	Synechococcus phage S-SM1	444859	234
UP000006524	Synechococcus phage S-SM2	444860	267
UP000006525	Synechococcus phage S-ShM2	445683	230
UP000006526	Synechococcus phage S-SSM5	445685	225
UP000006527	Synechococcus phage S-SSM7	445686	319
UP000006530	Prochlorococcus phage P-HM1	445700	241
UP000006531	Cyanophage NATL1A-7	445693	65
UP000006532	Prochlorococcus phage P-SSM7	445688	237
UP000006533	Cyanophage NATL2A-133	445692	62
UP000006534	Prochlorococcus phage Syn1	444861	234
UP000006535	Synechococcus phage Syn19	445684	215
UP000006537	Prochlorococcus phage Syn33	444878	227
UP000006538	Prochlorococcus phage P-HM2	445696	242
UP000006541	Maize streak virus genotype A (isolate South Africa) (MSV)	10824	5
UP000006542	Beet curly top virus (strain California/Logan) (BCTV)	268960	7
UP000006547	Synechococcus phage S-CRM01	1026955	297
UP000006572	Bean golden yellow mosaic virus (isolate Puerto Rico) (BGYMV) (Bean golden mosaic virus (isolate Puerto Rico))	222448	7
UP000006635	Culex nigripalpus nucleopolyhedrovirus (isolate Florida/1997) (CuniNPV)	645993	109
UP000006649	Clostridium phage phiCD119 (strain Clostridium difficile/United States/Govind/2006) (Bacteriophage phiCD119)	1283341	79
UP000006651	Escherichia phage phiV10	343516	55
UP000006664	Geobacillus phage GBSV1	365048	54
UP000006671	Naegleria gruberi (Amoeba)	5762	15636
UP000006673	Hyperthermophilic Archaeal Virus 1	762905	40
UP000006684	Pantoea phage LIMElight	881915	55
UP000006687	Porcine reproductive and respiratory syndrome virus (strain Lelystad) (PRRSV)	11049	10
UP000006691	Solibacillus silvestris (strain StLB046) (Bacillus silvestris)	1002809	3812
UP000006711	Helicoverpa armigera stunt virus (HaSV)	37206	3
UP000006717	Avian infectious bronchitis virus (strain Beaudette) (IBV)	11122	10
UP000006721	Leishmania RNA virus 1 - 1 (isolate Leishmania guyanensis) (LRV-1-1)	58103	3
UP000006722	Barley yellow dwarf virus (isolate PAV) (BYDV)	2169986	6
UP000006724	Human hepatitis A virus genotype IB (isolate HM175) (HHAV) (Human hepatitis A virus (isolate Human/Australia/HM175/1976))	12098	1
UP000006727	Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens)	3218	47782
UP000006729	Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa)	3694	51057
UP000006730	Thermoproteus tenax spherical virus 1	292639	38
UP000006814	Sulfolobus virus Kamchatka 1	248496	31
UP000006817	Mycobacterium phage Rosebush	205874	90
UP000006824	Mushroom bacilliform virus (isolate Australia/AUS LF-1) (MBV)	650482	4
UP000006826	Mokola virus (MOKV)	12538	5
UP000006829	Listeria phage P35	330398	56
UP000006831	Periplaneta fuliginosa densovirus (isolate Guo/2000) (PfDNV)	648333	7
UP000006856	Shigella phage Shfl2	1002725	265
UP000006857	Organic Lake virophage	938080	24
UP000006894	Erwinia phage phiEa1H	925985	50
UP000006895	Erwinia phage phiEt88	925984	68
UP000006896	Erwinia phage phiEa100	925983	51
UP000006921	Cryptosporidium parvum virus 1 (strain KSU-1)	766191	2
UP000006954	Salmonella phage STML-198	1204531	255
UP000007004	Salmonella phage SSE121	1204529	242
UP000007008	Pseudomonas phage UFV-P2	1235661	75
UP000007018	Mastomys natalensis papillomavirus (isolate African multimammate rat) (MnPV)	654915	3
UP000007020	Rachiplusia ou multiple nucleopolyhedrovirus (strain R1) (RoMNPV)	654904	149
UP000007022	Bovine parvovirus 1 (BPV-1)	2839036	3
UP000007025	Apple chlorotic leaf spot virus (isolate plum P863) (ACLSV)	73473	3
UP000007026	Burkholderia phage KS14	910475	44
UP000007042	Shigella phage SP18	645664	284
UP000007045	Acinetobacter phage AB1	889876	85
UP000007051	Thalassomonas phage BA3	469660	47
UP000007068	Tomato pseudo-curly top virus (TPCTV)	49267	6
UP000007070	Human rhinovirus A serotype 89 (strain 41467-Gallo) (HRV-89)	650130	1
UP000007071	Maize chlorotic mottle virus (isolate United States/Kansas/1987) (MCMV)	882210	5
UP000007083	Equine herpesvirus 2 (strain 86/87) (EHV-2)	82831	77
UP000007084	Sweet potato mild mottle virus (isolate Salazar) (SPMMV)	652105	1
UP000007086	Rice tungro spherical virus (strain A) (RTSV) (Rice tungro spherical waikavirus)	337081	1
UP000007087	Mycobacterium phage Phlyer	591487	103
UP000007106	Azoarcus sp. KH32C	748247	5176
UP000007163	Synechococcus phage S-CBS4	756275	105
UP000007167	Aeromonas phage phiAS7	1141132	51
UP000007178	Cyanophage S-TIM5	1137745	180
UP000007203	Duck hepatitis B virus (strain United States/DHBV-16) (DHBV)	489543	1
UP000007212	Infectious hematopoietic necrosis virus (strain WRAC) (IHNV)	429314	6
UP000007217	Simian foamy virus type 3 (strain LK3) (SFVagm) (SFV-3)	11644	5
UP000007221	Simian immunodeficiency virus (isolate PBj14/BCL-3) (SIV-sm) (Simian immunodeficiency virus sooty mangabey monkey)	11738	9
UP000007230	Sugarcane streak virus (isolate South Africa) (SSV) (Sugarcane streak virus (isolate Natal))	268781	4
UP000007241	Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211) (Frog chytrid fungus)	684364	8610
UP000007248	Infectious pancreatic necrosis virus (strain Jasper) (IPNV)	11003	3
UP000007249	Avian infectious bursal disease virus (isolate Chicken/UK/UK661/1989) (IBDV) (Gumboro disease virus)	644440	3
UP000007251	Cryphonectria hypovirus 1 (strain EP713) (CHV-1/EP713) (Chestnut blight fungus hypovirulence-associated virus)	12478	2
UP000007261	Lactobacillus phage LF1	947980	57
UP000007262	Lactobacillus phage Sha1	947981	58
UP000007263	Enterobacter phage EcP1	942016	77
UP000007317	Mycobacterium phage DotProduct	2923008	98
UP000007321	Mycobacterium phage Akoma	1089110	104
UP000007323	Erwinia phage PEp14	1131315	64
UP000007330	Escherichia phage ECBP1	1604356	82
UP000007331	Escherichia phage ECBP2	1604355	120
UP000007334	Pseudomonas phage JBD25	1225792	55
UP000007345	Salmonella phage SSU5	1177632	130
UP000007382	Leptospirillum ferrooxidans (strain C2-3)	1162668	2413
UP000007396	Vibrio phage VP3	588068	52
UP000007403	Turnip crinkle virus (TCV)	11988	4
UP000007431	Schizophyllum commune (strain H4-8 / FGSC 9210) (Split gill fungus)	578458	13128
UP000007453	Bean yellow dwarf virus (BeYDV)	57119	4
UP000007462	Staphylococcus phage 44AHJD	204086	21
UP000007493	Pseudomonas phage phi15	988656	50
UP000007500	Vibrio phage ICP2	979533	72
UP000007518	Rhodobacter phage RcapNL	1131316	64
UP000007520	Vibrio phage pVp-1	1150989	157
UP000007522	Thermococcus prieurii virus 1	1115696	28
UP000007524	Klebsiella phage vB_KleM_RaK2	1147094	534
UP000007528	Chicken anemia virus (isolate Germany Cuxhaven-1) (CAV)	73475	3
UP000007542	Woodchuck hepatitis B virus (isolate 59) (WHV)	10431	5
UP000007545	Turnip yellows virus (isolate FL-1) (TuYV) (BWYV-FL1)	12043	7
UP000007547	Tomato yellow leaf curl virus (strain Israel) (TYLCV)	66366	6
UP000007568	Mycobacterium tuberculosis (strain ATCC 35801 / TMC 107 / Erdman)	652616	4222
UP000007569	Halorubrum pleomorphic virus 6	1156721	10
UP000007570	Halogeometricum pleomorphic virus 1	1156722	15
UP000007571	Halorubrum pleomorphic virus 2	1156719	15
UP000007572	Halorubrum pleomorphic virus 3	1156720	12
UP000007576	Haloarcula hispanica icosahedral virus 2	1154689	43
UP000007595	Vibrio phage 1	187944	125
UP000007597	Synechococcus phage metaG-MbCM1	1079999	234
UP000007627	White clover mosaic virus (strain M) (WCMV)	12189	5
UP000007629	Wheat dwarf virus (isolate Sweden) (WDV)	268789	4
UP000007643	Ictalurid herpesvirus 1 (strain Auburn) (IcHV-1) (Channel catfish herpesvirus)	766178	76
UP000007657	Vibrio phage ICP1_2006_B	979530	226
UP000007661	Vesicular exanthema of swine virus serotype A48 (isolate Swine/United States/A48/1948) (VESV)	85617	3
UP000007666	Human papillomavirus 56	10596	5
UP000007671	Human papillomavirus type 63	28311	8
UP000007672	Human papillomavirus 65	28312	8
UP000007686	Human immunodeficiency virus type 1 group M subtype C (isolate 92BR025) (HIV-1)	388812	9
UP000007689	Human immunodeficiency virus type 1 group O (isolate ANT70) (HIV-1)	327105	9
UP000007691	Human immunodeficiency virus type 1 group M subtype B (strain 89.6) (HIV-1)	401671	9
UP000007694	Human immunodeficiency virus type 1 group M subtype C (isolate ETH2220) (HIV-1)	388796	9
UP000007695	Human immunodeficiency virus type 1 group M subtype B (isolate JRCSF) (HIV-1)	11688	9
UP000007696	Human immunodeficiency virus type 1 group M subtype A (isolate MAL) (HIV-1)	11697	9
UP000007697	Human immunodeficiency virus type 1 group M subtype B (isolate MN) (HIV-1)	11696	9
UP000007698	Human immunodeficiency virus type 1 group O (isolate MVP5180) (HIV-1)	388816	9
UP000007699	Human immunodeficiency virus type 1 group M subtype B (isolate RF/HAT3) (HIV-1)	11701	9
UP000007701	Burkholderia phage KS9	335797	50
UP000007711	Human papillomavirus 35	10587	6
UP000007743	Pseudomonas phage phi297	1129145	69
UP000007749	Salmonella phage SE2	1115478	61
UP000007755	Acromyrmex echinatior (Panamanian leafcutter ant) (Acromyrmex octospinosus echinatior)	103372	13962
UP000007772	Lake Victoria marburgvirus (strain Popp-67) (MARV) (Marburg virus (strain West Germany/Popp/1967))	33728	7
UP000007795	Tobacco streak virus (strain WC) (TSV)	12318	5
UP000007796	Grosmannia clavigera (strain kw1407 / UAMH 11150) (Blue stain fungus) (Graphiocladiella clavigera)	655863	8311
UP000007797	Cavenderia fasciculata (Slime mold) (Dictyostelium fasciculatum)	261658	12152
UP000007799	Salpingoeca rosetta (strain ATCC 50818 / BSB-021)	946362	11698
UP000007804	Borna disease virus (strain V) (BDV)	928296	6
UP000007840	Planktothrix phage PaV-LD	994601	142
UP000007858	Bacillus phage phIS3501	1124578	51
UP000007859	Escherichia phage TL-2011c	1124655	72
UP000007860	Escherichia phage TL-2011b	1124654	57
UP000007862	Clostridium phage phi24R	1128071	22
UP000007863	Bacillus phage BCP78	1126950	227
UP000007864	Pseudomonas phage OBP	1124849	309
UP000007880	Caldilinea aerophila (strain DSM 14535 / JCM 11387 / NBRC 104270 / STL-6-O1)	926550	4097
UP000007881	Phycisphaera mikurensis (strain NBRC 102666 / KCTC 22515 / FYK2301M01)	1142394	3269
UP000007882	Actinoplanes missouriensis (strain ATCC 14538 / DSM 43046 / CBS 188.64 / JCM 3121 / NBRC 102363 / NCIMB 12654 / NRRL B-3342 / UNCC 431)	512565	8113
UP000007883	Rubrivivax gelatinosus (strain NBRC 100245 / IL144)	983917	4686
UP000007890	Sphingomonas phage PAU	1150991	295
UP000007893	Lactococcus phage ASCC191	2892347	59
UP000007895	Lactococcus phage ASCC358	1165143	57
UP000007896	Panicum streak virus (isolate Kenya) (PanSV)	268780	4
UP000007930	Hepatitis B virus genotype D subtype ayw (isolate France/Tiollais/1979) (HBV-D)	490133	7
UP000007940	Synechococcus phage S-CBS2	753084	102
UP000007941	Synechococcus phage S-CBS3	753085	46
UP000007943	Riemerella phage RAP44	936152	80
UP000007946	Streptococcus pasteurianus (strain ATCC 43144 / JCM 5346 / CDC 1723-81)	981540	1864
UP000007947	Microlunatus phosphovorus (strain ATCC 700054 / DSM 10555 / JCM 9379 / NBRC 101784 / NCIMB 13414 / VKM Ac-1990 / NM-1)	1032480	5305
UP000007957	Lactococcus phage ul36	114416	61
UP000007964	Lactobacillus phage JCL1032	37105	77
UP000008012	Staphylococcus phage StB27	1147044	53
UP000008013	Staphylococcus phage StB12	1147042	74
UP000008014	Staphylococcus phage StB20	1147043	65
UP000008015	Mycobacterium phage Spartacus	1147141	110
UP000008020	Salmonella phage SPN3UB	1147140	71
UP000008024	Enterobacter phage Enc34	1150990	80
